id,civic_centre,death_licenses,place_of_death,year,month,season
28268,SC,70,Outside City Limits,2017,10,Fall
28269,SC,477,Toronto,2017,10,Fall
28270,ET,129,Outside City Limits,2017,11,Fall
28271,ET,387,Toronto,2017,11,Fall
28272,NY,84,Outside City Limits,2017,11,Fall
28273,NY,358,Toronto,2017,11,Fall
28274,SC,99,Outside City Limits,2017,11,Fall
28275,SC,540,Toronto,2017,11,Fall
28276,ET,44,Outside City Limits,2017,12,Winter
28277,ET,184,Toronto,2017,12,Winter
28278,NY,56,Outside City Limits,2017,12,Winter
28279,NY,125,Toronto,2017,12,Winter
28280,SC,64,Outside City Limits,2017,12,Winter
28281,SC,295,Toronto,2017,12,Winter
28282,ET,248,Outside City Limits,2018,1,Winter
28283,ET,605,Toronto,2018,1,Winter
28284,NY,103,Outside City Limits,2018,1,Winter
28285,NY,501,Toronto,2018,1,Winter
28286,SC,188,Outside City Limits,2018,1,Winter
28287,SC,766,Toronto,2018,1,Winter
28288,ET,193,Outside City Limits,2018,2,Winter
28289,ET,440,Toronto,2018,2,Winter
28290,NY,46,Outside City Limits,2018,2,Winter
28291,NY,262,Toronto,2018,2,Winter
28292,SC,142,Outside City Limits,2018,2,Winter
28293,SC,648,Toronto,2018,2,Winter
28294,ET,126,Outside City Limits,2018,3,Spring
28295,ET,463,Toronto,2018,3,Spring
28296,NY,81,Outside City Limits,2018,3,Spring
28297,NY,292,Toronto,2018,3,Spring
28298,SC,141,Outside City Limits,2018,3,Spring
28299,SC,655,Toronto,2018,3,Spring
28300,ET,95,Outside City Limits,2018,4,Spring
28301,ET,320,Toronto,2018,4,Spring
28302,NY,37,Outside City Limits,2018,4,Spring
28303,NY,206,Toronto,2018,4,Spring
28304,SC,61,Outside City Limits,2018,4,Spring
28305,SC,347,Toronto,2018,4,Spring
28306,ET,216,Outside City Limits,2018,5,Spring
28307,ET,459,Toronto,2018,5,Spring
28308,NY,140,Outside City Limits,2018,5,Spring
28309,NY,492,Toronto,2018,5,Spring
28310,SC,108,Outside City Limits,2018,5,Spring
28311,SC,494,Toronto,2018,5,Spring
28312,ET,88,Outside City Limits,2018,6,Summer
28313,ET,377,Toronto,2018,6,Summer
28314,NY,31,Outside City Limits,2018,6,Summer
28315,NY,194,Toronto,2018,6,Summer
28316,SC,82,Outside City Limits,2018,6,Summer
